Agent_Name,Run_ID,Random_Seed,Overall_Score,Rule_Fidelity,Rule_Simplicity,Stability,Decision_Transparency,Knowledge_Extractability
ILAI System,1,42,0.856868445816616,0.821107989125742,0.75,0.8159361381542353,0.9328910937845423,0.96440700801856
RILAI System,1,42,0.8691091616455852,0.8862765738684665,0.7239262630729978,0.8742724165536555,0.9616732608335747,0.8993972938992304
Deep Q-Network (DQN),1,42,0.5065135412473214,0.708451734152429,0.23720287029209017,0.856157522021783,0.1289084714092286,0.6018471083610758
PPO,1,42,0.5267269223162195,0.7235621517015641,0.26667930359257985,0.8961851527228651,0.12975405252354832,0.6174539510405401
ILAI System,2,1042,0.8740260957947558,0.8065800604831723,0.7506123227187953,0.8867165535573442,0.9608392259585117,0.965382316255955
RILAI System,2,1042,0.8357613302182904,0.8259801984636699,0.7,0.8267492062411335,0.9395319258157787,0.8865453205708697
Deep Q-Network (DQN),2,1042,0.5296018714085544,0.7381141566931857,0.24461874218103374,0.8919601155674708,0.13768769153954852,0.6356286510615328
PPO,2,1042,0.511513482085126,0.7021315854924391,0.225393417286151,0.886649601447786,0.1094437562014745,0.6339490499977796
ILAI System,3,2042,0.8757678877318356,0.8794054309103978,0.75,0.844070216621308,0.963644958532738,0.9417188325947332
RILAI System,3,2042,0.8695729833874833,0.8834054502052959,0.7208862158747426,0.8892492120919677,0.9681268045835603,0.8861972341818497
Deep Q-Network (DQN),3,2042,0.5393242085777761,0.7497443430323583,0.2727126598118494,0.902801832248856,0.13413228028125895,0.6372299275145579
PPO,3,2042,0.5203857063835258,0.7419661040693378,0.2262698188513484,0.9153353090897608,0.12459600233217914,0.5937612975750028
ILAI System,4,3042,0.8852821854332888,0.8864204288383554,0.7587752606776206,0.9120753108509033,0.9306563179625912,0.9384836088369742
RILAI System,4,3042,0.8634610105551317,0.8596481711227965,0.7,0.878945038575921,0.9635008693435014,0.9152109737334388
Deep Q-Network (DQN),4,3042,0.5403612367941303,0.7840571708294561,0.2797857594387336,0.8917710296605031,0.15405484810524178,0.5921373759367167
PPO,4,3042,0.5260457005303489,0.714386608693048,0.2957762119754695,0.9049969367892422,0.10386390229760922,0.6112048428963756
