Run,Agent,Environment,Config,Survived_30_Days_Count,Total_Agents,Success_Rate_Percent,Avg_Survival_Days,Max_Survival_Days,Min_Survival_Days,Avg_Reputation,Avg_Health,Avg_Food,Avg_Water,Best_Rank,Worst_Rank,Avg_Final_Health,Food_Score,Water_Score,Explore_Rate,Plants_Discovered,Plants_Collected,Animals_Encountered,Animals_Killed,Large_Trees_Discovered,Caves_Explored,Novel_Discoveries,Compute_Time,Response_Time
1,ILAI,AI_Survival,BPM_Ablation,1,10,10,16.5,30,2,161.8,10,85.6,87.2,2,36,10,85.6,87.2,0.0019,0.114,0.3166,2.0937,0,0.6494,1.136,35.4088,6.984530265,139.1458797
1,RILAI,AI_Survival,BPM_Ablation,3,10,30,16.6,30,1,153.8,30,84.5,89.6,1,40,30,84.5,89.6,0.001,0.0852,0,2.9399,0,0.7738,0.4317,22.9486,5.215616231,293.2840304
1,DQN,AI_Survival,BPM_Ablation,2,10,20,12.7,30,3,100,20,87.3,88.4,5,34,20,87.3,88.4,0.0018,0,0,1.9615,0.1642,0.2122,0.5782,0,1.722086265,81.41970072
1,PPO,AI_Survival,BPM_Ablation,2,10,20,12.6,30,2,100,20,87.4,88.3,6,38,20,87.4,88.3,0.0012,0.2697,0.0341,2.4134,0,0.3859,0.349,0,1.786189842,171.7197696
2,ILAI,AI_Survival,BPM_Ablation,1,10,10,15.8,30,2,158.4,10,84.6,91.2,1,37,10,84.6,91.2,0.0017,0.0231,0.2156,2.5597,0,0.6259,0.6124,26.9126,6.101463705,139.0829161
2,RILAI,AI_Survival,BPM_Ablation,4,10,40,15.7,30,1,154,40,84.7,91.6,2,40,40,84.7,91.6,0.0012,0.5055,0.695,1.9521,0,0.6566,0.4775,34.8291,6.896422046,328.0105821
2,DQN,AI_Survival,BPM_Ablation,3,10,30,14.9,30,3,100,24,85.1,88.2,7,34,24,85.1,88.2,0.002,0,0,2.1872,0.1509,0.2302,0.4435,0,1.304815891,68.2876429
2,PPO,AI_Survival,BPM_Ablation,4,10,40,15.2,30,3,100,35,84.8,91.6,6,36,35,84.8,91.6,0.0008,0.1786,0.0274,2.088,0.0299,0.1435,0.1223,0,2.735585662,231.2176207
3,ILAI,AI_Survival,BPM_Ablation,1,10,10,15.4,30,2,156.3,10,85.3,87.9,1,36,10,85.3,87.9,0.0015,0.2427,0.2004,2.338,0,0.5763,1.0831,22.0412,5.726081343,264.9281093
3,RILAI,AI_Survival,BPM_Ablation,1,10,10,11.5,30,1,134,10,89.6,92.6,2,40,10,89.6,92.6,0.0014,0.1051,0.2706,2.5205,0,0.5393,0.5591,27.9121,7.337212556,159.4658419
