Run,Agent,Environment,Config,Survived_30_Days_Count,Total_Agents,Success_Rate_Percent,Avg_Survival_Days,Max_Survival_Days,Min_Survival_Days,Avg_Reputation,Avg_Health,Avg_Food,Avg_Water,Best_Rank,Worst_Rank,Avg_Final_Health,Food_Score,Water_Score,Explore_Rate,Plants_Discovered,Plants_Collected,Animals_Encountered,Animals_Killed,Large_Trees_Discovered,Caves_Explored,Novel_Discoveries,Compute_Time,Response_Time
1,ILAI,AI_Survival,Hard_Fixed_Seed,1,10,10,10.7,30,1,135.1,10,91.4,92.2,1,35,10,91.4,92.2,0.0007,0.163,0,2.202,0,0.7602,0.2585,15.4953,4.088517917,152.7989154
1,RILAI,AI_Survival,Hard_Fixed_Seed,0,10,0,9.1,29,1,118,0,91.9,93.8,4,40,0,91.9,93.8,0.0003,0.2355,0.1323,2.5465,0,0.7438,0.443,15.6768,1.274783224,202.155141
1,DQN,AI_Survival,Hard_Fixed_Seed,1,10,10,7.6,30,1,100,10,92.4,95.3,2,38,10,92.4,95.3,0.0009,0.0207,0,2.3923,0,0.2197,0.2749,0,0.894951971,79.66565543
1,PPO,AI_Survival,Hard_Fixed_Seed,1,10,10,8.9,30,1,100,10,91.4,91.9,3,39,10,91.4,91.9,0.0006,0,0,2.7801,0,0.306,0.5407,0,1.378188073,209.6197386
2,ILAI,AI_Survival,Hard_Fixed_Seed,2,10,20,11.8,30,1,139.4,20,89.6,97.4,1,36,20,89.6,97.4,0.0009,0.4473,0.0163,2.0434,0,0.6907,0.2949,12.7188,4.864513483,166.1250373
2,RILAI,AI_Survival,Hard_Fixed_Seed,1,10,10,9.1,30,1,120,10,91.6,92.2,2,40,10,91.6,92.2,0.0006,0.0743,0.1228,2.6482,0,0.8114,0.3441,7.7921,0.891699612,111.9554637
2,DQN,AI_Survival,Hard_Fixed_Seed,1,10,10,6.5,30,1,100,5,93.5,94,5,38,5,93.5,94,0.0009,0.0153,0,2.4722,0,0.4759,0.2148,0,0.674851492,75.14508396
2,PPO,AI_Survival,Hard_Fixed_Seed,1,10,10,11.1,30,1,100,10,89.1,92.8,4,39,10,89.1,92.8,0.0009,0.2041,0.0188,2.2805,0,0.2643,0.491,0,1.912013525,180.735217
3,ILAI,AI_Survival,Hard_Fixed_Seed,1,10,10,11.4,30,1,139.4,10,89.3,94.5,1,36,10,89.3,94.5,0.0009,0,0.0987,2.7,0,0.8372,0.186,24.5484,3.534267021,143.9885885
3,RILAI,AI_Survival,Hard_Fixed_Seed,1,10,10,10.2,30,1,123,10,90.7,94.7,2,40,10,90.7,94.7,0.0007,0.0242,0,2.3965,0,0.4047,0.347,13.4698,3.231844998,22.21301514
3,DQN,AI_Survival,Hard_Fixed_Seed,1,10,10,7.2,30,1,100,10,92.8,94.3,3,38,10,92.8,94.3,0.0009,0.0213,0,1.9217,0,0,0.2091,0,0.767341724,75.02396497
3,PPO,AI_Survival,Hard_Fixed_Seed,0,10,0,10.1,26,1,100,0,89.9,92.8,5,39,0,89.9,92.8,0.0007,0.1653,0.1105,1.783,0,0.0934,1.0313,0,2.195594451,201.6714699
4,ILAI,AI_Survival,Hard_Fixed_Seed,3,10,30,12.9,30,1,148.1,30,88.2,92.9,1,36,30,88.2,92.9,0.0008,0.1712,0.0602,2.3328,0,0.5855,0.7086,28.46,5.690495783,80.86675697
4,RILAI,AI_Survival,Hard_Fixed_Seed,1,10,10,9.5,30,1,121.4,5,90.5,94.5,4,40,5,90.5,94.5,0.0005,0.0724,0.1643,2.2782,0,0.8354,0.5017,9.7044,3.011799163,123.8982134
4,DQN,AI_Survival,Hard_Fixed_Seed,0,10,0,6.5,23,1,100,0,93.5,95.3,7,38,0,93.5,95.3,0.0009,0.0145,0,2.1957,0,0.1976,0.6428,0,0.356458873,63.62988889
4,PPO,AI_Survival,Hard_Fixed_Seed,2,10,20,10.1,30,1,100,20,90.4,90.6,5,39,20,90.4,90.6,0.0009,0.2398,0.1108,2.425,0,0.1571,0.8526,0,1.904842452,196.8487845
5,ILAI,AI_Survival,Hard_Fixed_Seed,1,10,10,9.1,30,1,129.9,10,91.3,92.2,1,36,10,91.3,92.2,0.0011,0.1806,0.0865,3.0154,0,0.6502,0.7471,11.423,5.691134836,145.4317173
5,RILAI,AI_Survival,Hard_Fixed_Seed,0,10,0,8.6,25,1,120.4,0,91.4,93.4,3,40,0,91.4,93.4,0.0007,0.2038,0.1597,2.3231,0,0.4662,0.4142,7.7691,6.439932637,124.80228
5,DQN,AI_Survival,Hard_Fixed_Seed,1,10,10,7.1,30,1,100,10,92.9,93.9,2,38,10,92.9,93.9,0.0005,0.0002,0,2.3883,0,0.0261,0.8034,0,1.272588378,57.9356193
5,PPO,AI_Survival,Hard_Fixed_Seed,0,10,0,8.5,23,1,100,0,91.9,93.3,4,39,0,91.9,93.3,0.0008,0.3221,0,2.1654,0,0.3648,0.6478,0,1.706638391,185.768169
6,ILAI,AI_Survival,Hard_Fixed_Seed,1,10,10,9.5,30,1,132.9,10,91.6,96.6,1,36,10,91.6,96.6,0.0009,0.36,0,2.7357,0,0.5616,0.0501,13.0919,3.669219508,198.8594813
6,RILAI,AI_Survival,Hard_Fixed_Seed,1,10,10,8.2,30,1,117.8,10,91.8,94,2,40,10,91.8,94,0.0012,0.1846,0,2.6378,0,0.7309,0.4243,10.3307,3.125527284,124.0503377
6,DQN,AI_Survival,Hard_Fixed_Seed,1,10,10,6.9,30,1,100,10,93.1,96.8,4,38,10,93.1,96.8,0.0009,0,0,1.8251,0,0.3121,0.104,0,1.047851788,87.30329859
6,PPO,AI_Survival,Hard_Fixed_Seed,1,10,10,9.8,30,1,100,10,90.7,92.7,3,39,10,90.7,92.7,0.001,0.1849,0.0741,2.4531,0,0.6551,0.3672,0,1.633506059,190.7861873
