Run,Agent,Environment,Config,Survived_30_Days_Count,Total_Agents,Success_Rate_Percent,Avg_Survival_Days,Max_Survival_Days,Min_Survival_Days,Avg_Reputation,Avg_Health,Avg_Food,Avg_Water,Best_Rank,Worst_Rank,Avg_Final_Health,Food_Score,Water_Score,Explore_Rate,Plants_Discovered,Plants_Collected,Animals_Encountered,Animals_Killed,Large_Trees_Discovered,Caves_Explored,Novel_Discoveries,Compute_Time,Response_Time
1,ILAI,AI_Survival,Hard_Random_Seed,1,10,10,12.8,30,2,133.7,10,87.2,90,1,33,10,87.2,90,0.0008,0.226,0.4471,2.4712,0,0.7005,0.4138,9.712,4.19152337,240.1897472
1,RILAI,AI_Survival,Hard_Random_Seed,1,10,10,8.4,30,1,123.8,10,91.6,92.7,2,40,10,91.6,92.7,0.0006,0.1251,0.0891,2.9012,0,0.6595,0.3476,16.7254,5.134028914,10
1,DQN,AI_Survival,Hard_Random_Seed,1,10,10,16.8,30,2,100,10,83.2,88.2,3,35,10,83.2,88.2,0.001,0,0,2.5592,0,0.2822,0.2946,0,1.059942658,80.61205682
1,PPO,AI_Survival,Hard_Random_Seed,1,10,10,8,30,1,100,10,92,92,4,39,10,92,92,0.0008,0.0727,0,2.0708,0,0.4839,0.4317,0,1.644711316,214.6893386
2,ILAI,AI_Survival,Hard_Random_Seed,2,10,20,10.4,30,1,132.7,20,91.2,94,1,38,20,91.2,94,0.001,0,0.1581,2.1378,0,0.6206,0.2475,23.957,4.855235104,219.7583057
2,RILAI,AI_Survival,Hard_Random_Seed,0,10,0,10.5,21,1,123,0,90.1,93.2,6,39,0,90.1,93.2,0.0007,0.1524,0.0978,3.0325,0,0.8416,0.8695,6.6773,1.076708398,72.51608837
2,DQN,AI_Survival,Hard_Random_Seed,1,10,10,8.6,30,1,100,10,91.4,91.5,5,40,10,91.4,91.5,0.0009,0.0014,0,1.8186,0,0.235,0.2517,0,0.952288426,75.00774928
2,PPO,AI_Survival,Hard_Random_Seed,2,10,20,10.9,30,2,100,20,89.6,90.4,3,37,20,89.6,90.4,0.0008,0.0478,0.0028,2.6802,0,0.1061,0.6154,0,2.109369308,176.2703168
3,ILAI,AI_Survival,Hard_Random_Seed,1,10,10,10.5,30,1,128.7,10,90.2,93.4,3,38,10,90.2,93.4,0.0008,0.332,0.1867,2.7216,0,0.8782,0.6859,12.1961,3.412173371,227.0698367
3,RILAI,AI_Survival,Hard_Random_Seed,2,10,20,11.2,30,3,129.8,17,88.8,94.3,1,35,17,88.8,94.3,0.0012,0.0823,0.1221,2.9674,0,0.5336,0.7709,16.4514,3.487588364,80.05486928
3,DQN,AI_Survival,Hard_Random_Seed,2,10,20,13.6,30,1,100,20,86.4,93.1,4,39,20,86.4,93.1,0.0009,0,0,1.825,0,0.2961,0.2831,0,0.598800444,87.22345275
