Run,Agent,Environment,Config,Survived_30_Days_Count,Total_Agents,Success_Rate_Percent,Avg_Survival_Days,Max_Survival_Days,Min_Survival_Days,Avg_Reputation,Avg_Health,Avg_Food,Avg_Water,Best_Rank,Worst_Rank,Avg_Final_Health,Food_Score,Water_Score,Explore_Rate,Plants_Discovered,Plants_Collected,Animals_Encountered,Animals_Killed,Large_Trees_Discovered,Caves_Explored,Novel_Discoveries,Compute_Time,Response_Time
1,ILAI,AI_Survival,Standard_Fixed_Seed,4,10,40,20.5,30,2,180.3,40,80.2,87,1,37,40,80.2,87,0.0011,0.3511,0.1154,1.4489,0,0.4799,0.5076,26.9869,7.207025339,334.1687703
1,RILAI,AI_Survival,Standard_Fixed_Seed,2,10,20,13.9,30,1,144,20,87.9,89.8,5,40,20,87.9,89.8,0.0012,0.4954,0.6311,2.4381,0,0.5291,0.3842,19.2218,3.795100277,112.7820017
1,DQN,AI_Survival,Standard_Fixed_Seed,1,10,10,15.7,30,3,100,10,84.3,86.3,9,35,10,84.3,86.3,0.0013,0,0,1.8543,0.0876,0.1966,0.4109,0,1.445604018,78.85910527
1,PPO,AI_Survival,Standard_Fixed_Seed,2,10,20,12.9,30,3,100,20,87.9,90.4,7,36,20,87.9,90.4,0.0009,0.0339,0.0802,1.431,0.0334,0.1232,0.4141,0,2.514659538,205.2274032
2,ILAI,AI_Survival,Standard_Fixed_Seed,1,10,10,16.1,30,2,161.6,10,87.1,88.5,1,36,10,87.1,88.5,0.0013,0.2534,0,2.471,0,0.9672,0.8212,33.6199,5.866827056,315.3878023
2,RILAI,AI_Survival,Standard_Fixed_Seed,2,10,20,16,30,1,152.2,20,85.2,88.1,2,40,20,85.2,88.1,0.0014,0.882,0.7231,1.9787,0,1.0372,0.7979,25.6894,5.421501593,186.9199184
2,DQN,AI_Survival,Standard_Fixed_Seed,0,10,0,14.1,27,3,100,0,85.9,91.9,7,35,0,85.9,91.9,0.0023,0,0,1.6962,0.0445,0.2209,0.3568,0,1.675837979,84.52480977
2,PPO,AI_Survival,Standard_Fixed_Seed,3,10,30,14,30,2,100,30,86.3,89.1,4,38,30,86.3,89.1,0.0013,0.1749,0.0303,1.8024,0,0.3198,0.3405,0,2.205168273,198.8143861
3,ILAI,AI_Survival,Standard_Fixed_Seed,2,10,20,17.2,30,2,165.5,20,83.5,84.1,1,36,20,83.5,84.1,0.0016,0.1717,0.2019,1.6634,0,0.5592,0.8618,44.6087,6.267314563,188.6535184
3,RILAI,AI_Survival,Standard_Fixed_Seed,1,10,10,14,30,1,143.4,10,86.5,87.2,3,40,10,86.5,87.2,0.0013,0.3104,0.4361,2.0472,0,1.0705,0.1424,16.5751,6.509272199,138.6124318
3,DQN,AI_Survival,Standard_Fixed_Seed,3,10,30,15.6,30,3,100,30,87.6,89.8,4,34,30,87.6,89.8,0.0023,0,0,2.0214,0.145,0.1332,0.3814,0,1.187257691,115.820855
3,PPO,AI_Survival,Standard_Fixed_Seed,4,10,40,16.6,30,2,100,40,83.4,89.4,5,38,40,83.4,89.4,0.0012,0.1146,0.0387,1.7595,0,0.2326,0.3042,0,2.217545726,264.0337704
4,ILAI,AI_Survival,Standard_Fixed_Seed,2,10,20,18.9,30,2,171.3,20,82.5,84,1,36,20,82.5,84,0.0015,0.0803,0.1613,2.2858,0,1.373,0.6154,49.3027,7.630470613,212.3401437
4,RILAI,AI_Survival,Standard_Fixed_Seed,4,10,40,18.3,30,1,158.8,34,82.8,90.2,3,40,34,82.8,90.2,0.0012,0.4133,0.1706,1.8561,0,1.0624,0.2616,21.1209,6.138456751,124.3976898
4,DQN,AI_Survival,Standard_Fixed_Seed,4,10,40,16.5,30,3,100,40,90.7,86.4,8,34,40,90.7,86.4,0.0021,0,0,2.3351,0.0307,0.2168,0.396,0,1.866881677,76.30963841
4,PPO,AI_Survival,Standard_Fixed_Seed,2,10,20,14.6,30,2,100,20,89.5,91.5,7,38,20,89.5,91.5,0.0014,0,0.1285,1.5769,0,0.5262,0,0,2.700415845,187.773929
5,ILAI,AI_Survival,Standard_Fixed_Seed,6,10,60,23.5,30,2,192.5,60,77.2,84.8,1,37,60,77.2,84.8,0.0011,0.1411,0.2098,2.1359,0,0.7068,0.8638,42.6955,4.973356052,272.5835004
5,RILAI,AI_Survival,Standard_Fixed_Seed,3,10,30,15.4,30,1,145.2,30,84.8,90.5,6,40,30,84.8,90.5,0.0012,0.9484,0.5888,2.5535,0,0.8485,0,34.4239,9.009515492,243.9297125
5,DQN,AI_Survival,Standard_Fixed_Seed,1,10,10,14.3,30,3,100,10,89.7,88.6,10,34,10,89.7,88.6,0.0016,0,0,1.7874,0.1525,0.1055,0.5326,0,1.668246695,85.0546836
5,PPO,AI_Survival,Standard_Fixed_Seed,3,10,30,14.8,30,3,100,30,85.2,86.4,11,36,30,85.2,86.4,0.0011,0.0281,0.0319,1.7932,0,0.0944,0.3797,0,1.401688054,224.817226
6,ILAI,AI_Survival,Standard_Fixed_Seed,3,10,30,16.2,30,2,161.5,30,85.2,88,1,35,30,85.2,88,0.0014,0.1319,0.0717,1.9855,0,0.5681,0.3301,31.3268,6.289590167,211.7521237
6,RILAI,AI_Survival,Standard_Fixed_Seed,1,10,10,10.8,30,1,131.4,10,89.7,92.8,4,40,10,89.7,92.8,0.0011,0.4305,0.3458,2.1108,0,1.3219,0.0643,22.3183,1.355429576,339.4603667
6,DQN,AI_Survival,Standard_Fixed_Seed,3,10,30,15,30,3,100,30,88.3,91.1,5,34,30,88.3,91.1,0.0006,0,0,1.6341,0,0.1358,0.4661,0,1.744031004,78.1089929
6,PPO,AI_Survival,Standard_Fixed_Seed,4,10,40,17,30,2,100,40,83.1,89,6,38,40,83.1,89,0.0012,0.1754,0.0869,1.99,0,0.1915,0.4963,0,1.680930453,192.8666026
7,ILAI,AI_Survival,Standard_Fixed_Seed,1,10,10,15.9,30,2,154.3,10,84.8,88.5,1,35,10,84.8,88.5,0.0013,0.0889,0.2469,1.4486,0,0.5008,1.1316,37.666,4.564825607,299.5785173
7,RILAI,AI_Survival,Standard_Fixed_Seed,2,10,20,14.6,30,1,140.6,20,85.9,93.7,2,40,20,85.9,93.7,0.0008,0.2532,0.3264,2.1412,0,0.2281,0.8501,23.0737,5.864570339,252.1151501
7,DQN,AI_Survival,Standard_Fixed_Seed,3,10,30,16.8,30,3,100,20,83.2,88.4,4,34,20,83.2,88.4,0.0026,0,0,2.0133,0.1411,0,0.6519,0,2.21188041,86.35686242
7,PPO,AI_Survival,Standard_Fixed_Seed,1,10,10,12.5,30,2,100,10,87.5,91.4,5,38,10,87.5,91.4,0.0007,0,0.0683,2.363,0,0.297,0.2429,0,2.547165046,225.9754988
8,ILAI,AI_Survival,Standard_Fixed_Seed,4,10,40,19.8,30,2,176.1,40,80.7,91.9,1,36,40,80.7,91.9,0.0013,0.1753,0.273,1.2414,0,0.5945,0.9303,49.4101,7.459058131,138.4824103
8,RILAI,AI_Survival,Standard_Fixed_Seed,4,10,40,16.1,30,1,154.6,40,84.4,91.2,5,40,40,84.4,91.2,0.0007,0.3967,0.3735,1.9605,0,0.8493,0.3202,30.0187,8.94136644,159.629161
8,DQN,AI_Survival,Standard_Fixed_Seed,3,10,30,18.4,30,4,100,30,81.6,88.9,10,33,30,81.6,88.9,0.0016,0,0,2.5114,0.1714,0.6932,0.4494,0,1.73103779,105.4830615
8,PPO,AI_Survival,Standard_Fixed_Seed,2,10,20,11.9,30,2,100,20,88.1,94.4,9,38,20,88.1,94.4,0.0011,0.0934,0.0619,2.0719,0,0,0.3765,0,2.427741013,224.6433432
9,ILAI,AI_Survival,Standard_Fixed_Seed,3,10,30,18.9,30,2,173.1,30,81.1,85.7,1,37,30,81.1,85.7,0.0015,0.1486,0.1303,2.0278,0,0.2804,0.4738,41.9313,5.875787951,273.697086
9,RILAI,AI_Survival,Standard_Fixed_Seed,1,10,10,14.2,30,1,144.8,10,87.5,91.7,4,40,10,87.5,91.7,0.0008,0.5386,0.2116,2.1362,0,0.5408,0.0487,31.616,4.70276177,194.9593186
9,DQN,AI_Survival,Standard_Fixed_Seed,0,10,0,13.3,27,3,100,0,89.9,91,7,36,0,89.9,91,0.0027,0,0,1.3358,0,0.5578,0.5618,0,1.725566839,108.255954
9,PPO,AI_Survival,Standard_Fixed_Seed,1,10,10,11.7,30,3,100,10,88.5,91.8,5,35,10,88.5,91.8,0.0015,0.1631,0.1424,1.753,0.0082,0.247,0.4439,0,2.173607978,235.9023317
10,ILAI,AI_Survival,Standard_Fixed_Seed,3,10,30,16.8,30,2,163.1,30,83.9,86.9,1,36,30,83.9,86.9,0.0015,0,0.1479,1.5643,0,0.7908,0.5284,40.1397,7.155235104,288.7583057
10,RILAI,AI_Survival,Standard_Fixed_Seed,4,10,40,16.9,30,1,157.6,40,83.6,87,2,40,40,83.6,87,0.0011,0.6053,0.4643,2.7376,0,1.1179,0.9495,18.5154,3.572050078,172.019306
10,DQN,AI_Survival,Standard_Fixed_Seed,1,10,10,14.2,30,3,100,4,85.8,85.9,11,33,4,85.8,85.9,0.002,0,0,1.7739,0,0.1921,0.352,0,2.149717902,90.00774928
10,PPO,AI_Survival,Standard_Fixed_Seed,3,10,30,12.5,30,2,100,24,87.5,91.4,8,38,24,87.5,91.4,0.0014,0.0306,0.0152,2.3514,0,0.3198,0.2656,0,1.655406336,224.1116889
11,ILAI,AI_Survival,Standard_Fixed_Seed,4,10,40,17.8,30,2,166.9,40,82.2,87.3,1,35,40,82.2,87.3,0.0013,0.0653,0.0585,1.6346,0,1.6873,0.2877,31.3708,4.316468241,311.4555962
11,RILAI,AI_Survival,Standard_Fixed_Seed,1,10,10,14,30,1,143,10,86.4,92.3,4,40,10,86.4,92.3,0.0013,0.3658,0.2364,1.8114,0,1.0288,0.4077,21.2875,6.49701899,124.2329144
11,DQN,AI_Survival,Standard_Fixed_Seed,2,10,20,16.7,30,3,100,20,86.5,84.6,8,34,20,86.5,84.6,0.0018,0,0,1.9744,0.0858,0.1868,0.3858,0,1.858012365,90.79336594
11,PPO,AI_Survival,Standard_Fixed_Seed,3,10,30,14.9,30,2,100,30,85.7,89,6,38,30,85.7,89,0.0015,0.1132,0.0308,2.0661,0.0774,0.3413,0.4399,0,2.601637728,193.7338345
12,ILAI,AI_Survival,Standard_Fixed_Seed,4,10,40,18,30,2,169.3,40,83.8,85,1,36,40,83.8,85,0.0014,0.1019,0.1152,1.9808,0,1.0563,0.508,32.27,5.205779563,223.9143062
12,RILAI,AI_Survival,Standard_Fixed_Seed,3,10,30,16.1,30,1,151.8,30,85.2,89.7,3,40,30,85.2,89.7,0.0013,0.7704,0.6635,2.1308,0,0.6814,0.3584,23.3378,5.656689811,248.7721918
12,DQN,AI_Survival,Standard_Fixed_Seed,1,10,10,15.8,30,3,100,10,84.2,86.9,8,35,10,84.2,86.9,0.0024,0,0,2.1739,0.131,0.2041,0.4718,0,2.038556039,89.25260074
12,PPO,AI_Survival,Standard_Fixed_Seed,3,10,30,14.2,30,2,100,30,85.9,86.7,9,38,30,85.9,86.7,0.0011,0.1889,0.1,2.3416,0.0619,0.4115,0.2817,0,1.408144868,194.2120665
13,ILAI,AI_Survival,Standard_Fixed_Seed,3,10,30,16.8,30,2,160.9,30,83.2,89,1,37,30,83.2,89,0.0013,0.1588,0.2015,1.9563,0,1.01,0.8809,24.9216,7.447601728,329.2870884
13,RILAI,AI_Survival,Standard_Fixed_Seed,3,10,30,16.6,30,1,154.4,30,85.3,88.6,2,40,30,85.3,88.6,0.001,0.2426,0.4907,2.1163,0,0.6693,0.3482,26.0867,5.774031794,301.9233006
13,DQN,AI_Survival,Standard_Fixed_Seed,3,10,30,14.2,30,3,100,30,85.8,88.3,7,34,30,85.8,88.3,0.002,0,0,2.073,0.0712,0.1484,0.4985,0,1.548262088,79.08189205
13,PPO,AI_Survival,Standard_Fixed_Seed,2,10,20,13.3,30,3,100,20,86.7,92.8,8,36,20,86.7,92.8,0.0008,0.1336,0.0469,1.5499,0.0691,0.0833,0.2306,0,1.682958999,224.3890329
14,ILAI,AI_Survival,Standard_Fixed_Seed,4,10,40,19.9,30,2,172.1,40,81.5,90.6,1,36,40,81.5,90.6,0.0013,0,0.0897,2.2796,0,0.6024,0.5923,42.8279,7.105425161,243.6547408
14,RILAI,AI_Survival,Standard_Fixed_Seed,4,10,40,15.7,30,1,151.4,40,86.2,86,4,40,40,86.2,86,0.0017,0.1224,0.678,2.417,0,1.1591,0.0754,27.231,4.554655245,233.4369411
14,DQN,AI_Survival,Standard_Fixed_Seed,1,10,10,16.4,30,3,100,7,83.6,87.5,10,35,7,83.6,87.5,0.0012,0,0,1.7367,0,0.1919,0.6616,0,1.868443996,86.90477553
14,PPO,AI_Survival,Standard_Fixed_Seed,2,10,20,15.5,30,2,100,14,84.5,89.5,9,38,14,84.5,89.5,0.0011,0.1615,0,2.5747,0.0419,0.2776,0.6518,0,1.924912945,220.2424791
15,ILAI,AI_Survival,Standard_Fixed_Seed,4,10,40,19.2,30,2,169.5,40,82.2,88.3,1,36,40,82.2,88.3,0.0014,0.1336,0.2408,2.4988,0,0.8551,0.8302,23.4712,8.408207618,244.8928184
15,RILAI,AI_Survival,Standard_Fixed_Seed,2,10,20,14,30,1,143.6,20,86.5,92.1,2,40,20,86.5,92.1,0.0015,0.9166,0.5524,1.9992,0,0.6456,0.5074,23.3646,6.645476209,102.6930419
15,DQN,AI_Survival,Standard_Fixed_Seed,4,10,40,19.6,30,3,100,40,83.7,86.6,7,34,40,83.7,86.6,0.0024,0,0,2.0108,0.0996,0.2511,0.1298,0,2.186164061,89.60054469
15,PPO,AI_Survival,Standard_Fixed_Seed,1,10,10,14.7,30,2,100,10,85.6,91.6,8,38,10,85.6,91.6,0.0009,0.1516,0.1708,1.8691,0,0.2213,0.2142,0,2.610724902,185.701224
16,ILAI,AI_Survival,Standard_Fixed_Seed,2,10,20,18.6,30,2,170.8,20,81.8,89,1,36,20,81.8,89,0.0011,0.0159,0.096,1.5646,0,1.0695,0.463,38.3945,4.786178871,298.0003826
16,RILAI,AI_Survival,Standard_Fixed_Seed,2,10,20,15,30,1,150,20,85.4,92.2,3,40,20,85.4,92.2,0.0015,0.9638,0.7318,1.9358,0,1.2638,0.3736,29.2813,3.119376539,311.0336326
16,DQN,AI_Survival,Standard_Fixed_Seed,2,10,20,16.6,30,3,100,20,83.4,90.2,5,34,20,83.4,90.2,0.0013,0,0,1.7955,0.1534,0.1431,0.3816,0,1.985498602,83.36374013
16,PPO,AI_Survival,Standard_Fixed_Seed,1,10,10,12.5,30,2,100,10,87.5,91.6,6,38,10,87.5,91.6,0.0011,0.3069,0,1.5679,0.018,0.2805,0.2069,0,2.799509165,181.8658078
17,ILAI,AI_Survival,Standard_Fixed_Seed,4,10,40,18.4,30,2,170.3,40,82.3,83.2,1,37,40,82.3,83.2,0.0016,0.1387,0,2.3959,0,0.716,0.5418,27.2662,4.674551848,277.3246728
17,RILAI,AI_Survival,Standard_Fixed_Seed,4,10,40,18.1,30,1,160.8,40,83.8,88,4,40,40,83.8,88,0.0015,0.3352,0.4769,2.1035,0,1.084,0.5622,17.3322,7.165950478,286.8805953
17,DQN,AI_Survival,Standard_Fixed_Seed,3,10,30,14,30,3,100,27,86,90.1,9,34,27,86,90.1,0.0014,0,0,2.4162,0,0.5915,0.0575,0,1.974930001,104.7009309
17,PPO,AI_Survival,Standard_Fixed_Seed,2,10,20,12.9,30,3,100,20,87.6,92.8,10,36,20,87.6,92.8,0.0005,0.1685,0.1094,2.1567,0,0.2335,0.7349,0,2.116055045,200.5609135
18,ILAI,AI_Survival,Standard_Fixed_Seed,2,10,20,16,30,2,157.5,20,84,89.4,1,34,20,84,89.4,0.0013,0.2108,0.0654,1.4602,0,0.8952,0.4237,30.99,6.155574034,274.7962675
