Run,Agent,Environment,Config,Survived_30_Days_Count,Total_Agents,Success_Rate_Percent,Avg_Survival_Days,Max_Survival_Days,Min_Survival_Days,Avg_Reputation,Avg_Health,Avg_Food,Avg_Water,Best_Rank,Worst_Rank,Avg_Final_Health,Food_Score,Water_Score,Explore_Rate,Plants_Discovered,Plants_Collected,Animals_Encountered,Animals_Killed,Large_Trees_Discovered,Caves_Explored,Novel_Discoveries,Compute_Time,Response_Time
1,ILAI,AI_Survival,Standard_Random_Seed,4,10,40,15.7,30,1,158.9,40,85.3,88.4,2,40,40,85.3,88.4,0.0014,0.2788,0.1526,2.1086,0,1.0836,0.5355,29.2761,7.427408855,345.734972
1,RILAI,AI_Survival,Standard_Random_Seed,4,10,40,22.8,30,5,180.4,40,77.4,84.4,1,28,40,77.4,84.4,0.0012,0.4594,0.3428,1.917,0,1.2687,0.5852,22.4958,8.095540688,193.147756
1,DQN,AI_Survival,Standard_Random_Seed,2,10,20,13,30,3,100,20,87,89.8,9,38,20,87,89.8,0.0013,0,0,1.9317,0,0.126,0.7359,0,2.320686489,95.73956069
1,PPO,AI_Survival,Standard_Random_Seed,1,10,10,10.3,30,3,100,10,89.7,92.9,11,39,10,89.7,92.9,0.0011,0.2052,0.0822,2.5363,0.0263,0.1587,0.6135,0,2.033027764,214.3296465
2,ILAI,AI_Survival,Standard_Random_Seed,3,10,30,15,30,4,149.1,30,86.3,89.7,1,35,30,86.3,89.7,0.0013,0.3216,0.3874,2.27,0,0.9634,0.9921,39.9945,7.305200851,263.9672403
2,RILAI,AI_Survival,Standard_Random_Seed,3,10,30,15.7,30,2,155.2,30,86.1,89.8,2,40,30,86.1,89.8,0.0012,0.4228,0.6794,1.9778,0,0.7623,0.5219,25.5305,5.177392394,180.9299503
2,DQN,AI_Survival,Standard_Random_Seed,3,10,30,18.9,30,3,100,30,81.1,86.8,9,39,30,81.1,86.8,0.0021,0,0,1.9654,0.0847,0.4736,0.4129,0,1.951818078,83.71035145
2,PPO,AI_Survival,Standard_Random_Seed,3,10,30,14.7,30,4,100,30,85.3,93.6,7,36,30,85.3,93.6,0.0015,0,0,2.2282,0,0.4341,0.3501,0,2.721982252,189.2669481
3,ILAI,AI_Survival,Standard_Random_Seed,3,10,30,14.8,30,3,143.3,30,86.2,88.7,1,35,30,86.2,88.7,0.0015,0.3545,0.2209,1.9642,0,0.6916,0.5258,38.381,5.179315073,273.7226003
3,RILAI,AI_Survival,Standard_Random_Seed,3,10,30,12,30,1,138.8,30,88.7,92.1,2,40,30,88.7,92.1,0.0011,0.4834,0.3351,3.308,0,0.9515,0.4145,20.5753,4.693337706,180.1459387
3,DQN,AI_Survival,Standard_Random_Seed,2,10,20,17.8,30,3,100,20,82.2,86.2,10,36,20,82.2,86.2,0.0023,0,0,1.8478,0.1689,0.1155,0.4631,0,1.915570821,106.1202182
3,PPO,AI_Survival,Standard_Random_Seed,3,10,30,14.3,30,1,100,30,86.2,93.2,7,38,30,86.2,93.2,0.0014,0.1967,0.0379,1.5656,0.0171,0.3025,0.2417,0,2.230853548,215.5214153
4,ILAI,AI_Survival,Standard_Random_Seed,2,10,20,11.9,30,2,141.5,20,88.7,90.6,2,36,20,88.7,90.6,0.0014,0.0826,0.2876,2.1809,0,0.9682,0.5278,41.287,6.84715346,205.5229522
4,RILAI,AI_Survival,Standard_Random_Seed,4,10,40,15.56,30,1,154.7,44.4,86.9,85.1,1,38,44.4,86.9,85.1,0.0014,0.496,0.4482,2.3628,0,0.756,0.0436,21.9051,4.673977407,186.5962418
4,DQN,AI_Survival,Standard_Random_Seed,5,10,50,16.8,30,1,100,50,83.2,83.4,7,39,50,83.2,83.4,0.0013,0,0,1.6584,0.0048,0.0855,0.1423,0,1.869059434,90.85043129
4,PPO,AI_Survival,Standard_Random_Seed,1,10,10,11.5,30,3,100,5,88.5,92.6,12,35,5,88.5,92.6,0.001,0.156,0,2.2072,0,0.2382,0.1776,0,3.007989619,206.8330019
5,ILAI,AI_Survival,Standard_Random_Seed,4,10,40,15.6,30,3,158.3,37,85.8,91.4,1,37,37,85.8,91.4,0.0015,0.1188,0.2922,2.4846,0,0.5626,1.1026,51.6989,6.95829321,252.9234402
5,RILAI,AI_Survival,Standard_Random_Seed,3,10,30,17.3,30,1,163.4,30,82.8,86.8,4,39,30,82.8,86.8,0.001,0.459,0.4768,2.1799,0,1.5882,0.0406,28.1492,5.462629636,241.3052038
5,DQN,AI_Survival,Standard_Random_Seed,3,10,30,16.5,30,1,100,21,83.5,86.4,11,40,21,83.5,86.4,0.0011,0,0,2.0581,0.0192,0.4794,0.1801,0,1.887740012,70.36805881
5,PPO,AI_Survival,Standard_Random_Seed,4,10,40,17.9,30,4,100,35,82.1,95,8,35,35,82.1,95,0.0012,0.0964,0.0394,1.604,0.0192,0.5719,0.4864,0,1.966665322,258.7898925
6,ILAI,AI_Survival,Standard_Random_Seed,2,10,20,8.4,30,1,128.7,20,92.4,93.9,1,39,20,92.4,93.9,0.0014,0.2428,0.1659,2.384,0,0.7157,0.7206,26.0766,5.708465342,351.3528484
6,RILAI,AI_Survival,Standard_Random_Seed,5,10,50,21.5,30,1,177.8,50,78.7,86.3,2,40,50,78.7,86.3,0.0013,0.5129,0.256,2.4374,0,0.6137,0.3337,27.011,7.182883833,173.6821197
6,DQN,AI_Survival,Standard_Random_Seed,4,10,40,15.9,30,2,100,40,84.1,86.8,8,36,40,84.1,86.8,0.0019,0,0,1.3204,0.0919,0.118,0.1103,0,2.043993897,73.03283763
6,PPO,AI_Survival,Standard_Random_Seed,2,10,20,11.9,30,3,100,20,88.1,90.2,9,34,20,88.1,90.2,0.0011,0.1304,0.074,1.7816,0.0455,0.076,0.1886,0,1.267764635,222.2107385
7,ILAI,AI_Survival,Standard_Random_Seed,2,10,20,13.8,30,2,144.5,20,87.4,90.8,3,37,20,87.4,90.8,0.0013,0.1164,0,2.2445,0,0.914,0.3574,37.1442,4.418042427,251.7848468
7,RILAI,AI_Survival,Standard_Random_Seed,3,10,30,16,30,3,153.4,30,84.7,87.2,1,34,30,84.7,87.2,0.0007,0.1041,0.1955,2.2019,0,1.1676,0.6099,24.8678,7.225687153,147.8196122
7,DQN,AI_Survival,Standard_Random_Seed,2,10,20,11.6,30,1,100,11,88.4,92.8,7,40,11,88.4,92.8,0.0017,0,0,2.2906,0.0966,0.5233,0.2849,0,2.359444035,68.49341649
7,PPO,AI_Survival,Standard_Random_Seed,2,10,20,11.9,30,1,100,20,88.1,91.1,6,39,20,88.1,91.1,0.0018,0.21,0.1999,1.4274,0.04,0.3923,0.6572,0,2.833758749,218.8695887
8,ILAI,AI_Survival,Standard_Random_Seed,6,10,60,23.1,30,4,189.7,54,77.6,84.9,1,33,54,77.6,84.9,0.0018,0.0537,0.2723,1.8915,0,1.2409,0.9765,28.3509,6.917792522,226.9770038
8,RILAI,AI_Survival,Standard_Random_Seed,3,10,30,15.1,30,1,149,30,84.9,89.1,7,40,30,84.9,89.1,0.0011,0.4699,0.4736,1.7348,0,0.5349,0.1481,18.3535,4.964148547,172.865365
