Run,Agent,Environment,Config,Survived_30_Days_Count,Total_Agents,Success_Rate_Percent,Avg_Survival_Days,Max_Survival_Days,Min_Survival_Days,Avg_Reputation,Avg_Health,Avg_Food,Avg_Water,Best_Rank,Worst_Rank,Avg_Final_Health,Food_Score,Water_Score,Explore_Rate,Plants_Discovered,Plants_Collected,Animals_Encountered,Animals_Killed,Large_Trees_Discovered,Caves_Explored,Novel_Discoveries,Compute_Time,Response_Time
1,ILAI,AI_Survival,WBM_Ablation,3,10,30,16.9,30,2,30,84.5,89,0,4,37,84.5,89,0,0.0018,0.2222,0.3368,1.2341,0,0.4158,0.5278,35.971,5.324742084,228.8384276
1,RILAI,AI_Survival,WBM_Ablation,3,10,30,13.4,30,1,30,87.6,89.6,0,1,40,87.6,89.6,0,0.0011,0.4579,0,2.4987,0,0.9018,0.5081,17.2976,5.241081813,240.0121646
1,DQN,AI_Survival,WBM_Ablation,2,10,20,11.3,30,3,20,88.7,93.8,0,3,33,88.7,93.8,0,0.0015,0,0,1.8468,0.0837,0.0592,0,0,1.842345006,99.68242044
1,PPO,AI_Survival,WBM_Ablation,1,10,10,11.2,30,2,10,88.9,89,0,9,36,88.9,89,0,0.0015,0.0717,0.1807,1.8365,0.0384,0.1342,0.3638,0,1.587897104,174.9991872
2,ILAI,AI_Survival,WBM_Ablation,2,10,20,20.5,30,2,17,80.8,86.5,0,5,36,80.8,86.5,0,0.0011,0.2234,0.2417,2.0605,0,0.493,0.8022,36.6629,6.61612935,266.2361803
2,RILAI,AI_Survival,WBM_Ablation,3,10,30,15.8,30,1,30,85.2,92.4,0,1,40,85.2,92.4,0,0.0008,0.3824,0.8075,1.9697,0,1.0057,0.1925,28.9033,8.8029192,236.1283777
2,DQN,AI_Survival,WBM_Ablation,2,10,20,11.1,30,3,12,92.1,91,0,7,34,92.1,91,0,0.0016,0,0,1.8414,0.0511,0.6094,0.4303,0,1.074464573,56.31014912
2,PPO,AI_Survival,WBM_Ablation,1,10,10,11.1,30,2,10,88.9,93.4,0,2,37,88.9,93.4,0,0.0009,0,0.0872,2.2132,0.0506,0.3682,0.4047,0,2.11702774,149.9933372
3,ILAI,AI_Survival,WBM_Ablation,3,10,30,18.8,30,2,30,82.4,89.8,0,1,36,82.4,89.8,0,0.0014,0.234,0.2573,2.0219,0,0.6894,0.2721,35.7931,9.616152754,242.9799544
3,RILAI,AI_Survival,WBM_Ablation,2,10,20,14.9,30,1,20,85.8,89.6,0,2,40,85.8,89.6,0,0.0009,0,0.3477,1.4266,0,0.6354,0.7841,18.1986,8.704013855,323.2485324
3,DQN,AI_Survival,WBM_Ablation,1,10,10,9.8,30,3,10,93.5,95.7,0,3,34,93.5,95.7,0,0.0019,0,0,1.9871,0.0301,0.1038,0.1616,0,1.901926238,79.07582368
3,PPO,AI_Survival,WBM_Ablation,1,10,10,11.9,30,2,10,88.1,89.3,0,7,37,88.1,89.3,0,0.0009,0.0865,0,1.4733,0.0033,0.2227,0.403,0,1.563156608,189.3696943
4,ILAI,AI_Survival,WBM_Ablation,2,10,20,16.2,30,2,20,83.8,91,0,4,37,83.8,91,0,0.0015,0.2888,0.1564,1.5918,0,1.1704,0.6296,29.8991,8.160884481,204.5645043
4,RILAI,AI_Survival,WBM_Ablation,3,10,30,16.4,30,1,30,84.9,93.5,0,1,40,84.9,93.5,0,0.0006,0.2033,0.3442,1.78,0,0.3503,0.1015,28.6093,4.462061594,159.8106938
4,DQN,AI_Survival,WBM_Ablation,2,10,20,10.6,30,3,15,89.4,90.8,0,7,36,89.4,90.8,0,0.0009,0,0,2.5039,0.0793,0.2624,0.4466,0,1.381877796,80.23406143
4,PPO,AI_Survival,WBM_Ablation,1,10,10,11,30,3,10,89.2,92.5,0,3,34,89.2,92.5,0,0.0012,0.1944,0.1233,1.9692,0.0275,0.1112,0.285,0,1.797170357,226.6190618
5,ILAI,AI_Survival,WBM_Ablation,3,10,30,20.2,30,2,30,79.8,88.2,0,2,36,79.8,88.2,0,0.0015,0,0.2668,2.0131,0,0.5953,0.67,25.9188,3.854017279,170.6435454
5,RILAI,AI_Survival,WBM_Ablation,2,10,20,16.5,30,1,20,84.5,88.3,0,1,40,84.5,88.3,0,0.0015,0.5337,0.4457,1.8655,0,1.1272,0.6239,23.2366,5.716331529,223.4850299
5,DQN,AI_Survival,WBM_Ablation,1,10,10,10.1,30,3,10,93.2,92.8,0,7,34,93.2,92.8,0,0.002,0,0,1.9802,0.1169,0.3724,0.4097,0,1.620087079,106.8459841
5,PPO,AI_Survival,WBM_Ablation,2,10,20,12.2,30,2,20,87.9,91.8,0,4,37,87.9,91.8,0,0.0007,0.1873,0.0725,2.1095,0.0071,0,0.3647,0,1.812237829,183.5262784
