Agent_Name,Run_ID,Random_Seed,Overall_Score,Rule_Fidelity,Rule_Simplicity,Stability,Decision_Transparency,Knowledge_Extractability
ILAI System,1,42,0.7827647987847139,0.9920160202145261,0.3813434366822501,0.6725791815047613,0.9237398351098213,0.9441455204122107
A* Search,1,42,0.7950855593659103,0.7995710059623121,0.5147723702665327,0.6842123858535741,0.978910452206109,0.997961582541024
Rule-based Agent,1,42,0.8350808100204324,0.7976126972576976,0.7186385736466665,0.7173369449571777,0.9456696103778792,0.9961462238627411
Deep Q-Network (DQN),1,42,0.6290672076265447,0.8351074617148742,0.6547475042078119,0.7105114018383233,0.14968758087434525,0.7952820894973681
Q-Learning,1,42,0.6118419935995663,0.8228040006925542,0.5445567489659591,0.6813867831003335,0.20822658708312933,0.8022358481558555
Random Baseline,1,42,0.7287269140249829,0.8489561291154565,0.5698982651536856,0.704529381567368,0.7386004637282217,0.7816503305601824
ILAI System,2,1042,0.789515409380996,0.9911626086158337,0.39734799509186575,0.7017848570850026,0.9091193023837848,0.9481622837284932
A* Search,2,1042,0.7838390069571688,0.785661190248703,0.49158555192234404,0.7148139497039073,0.9322984431834712,0.9948358997274181
Rule-based Agent,2,1042,0.8161394276515893,0.781603142269005,0.686891620341181,0.6959856657405045,0.9224650097394103,0.9937517001678452
Deep Q-Network (DQN),2,1042,0.6082682829347833,0.8935837015245276,0.5402376619434338,0.693079724677798,0.14863151538100466,0.7658088111471522
Q-Learning,2,1042,0.6338265031271548,0.8077233190003438,0.6125625183720675,0.7089352977464743,0.19202654839234512,0.8478848321245431
Random Baseline,2,1042,0.7520083514280631,0.8507725254122012,0.6499320484734236,0.6835626235990044,0.7748092657402808,0.8009652939154054
ILAI System,3,2042,0.7923230932753915,0.9980312885899498,0.4079836296835181,0.7049048779559244,0.910833236890874,0.9398624332566915
A* Search,3,2042,0.7884634109791447,0.8084892468892529,0.4928050980914408,0.7273577416735783,0.9222082239831494,0.9914567442583023
Rule-based Agent,3,2042,0.8283058204019084,0.8140674942449541,0.6979607108512422,0.7024520955826355,0.9324543052402964,0.9945944960904133
Deep Q-Network (DQN),3,2042,0.6436951190650376,0.8850236090214112,0.6398455164293042,0.7196954073317124,0.12564670521858035,0.84826435732418
Q-Learning,3,2042,0.636462087609964,0.8441876922375899,0.6403832900271715,0.7298826359268384,0.2144349801089696,0.7534218397492504
Random Baseline,3,2042,0.7480395175171048,0.838994486480466,0.6065804647254359,0.6916023544614727,0.7564333303746129,0.8465869515435361
ILAI System,4,3042,0.7942991803735145,0.9939369884021836,0.4080140681659285,0.7133046074423,0.9091943256561514,0.9470459122010089
A* Search,4,3042,0.7915662250998404,0.8193521510213498,0.5199226283330788,0.6868271063370391,0.9387372386079846,0.9929920011997498
Rule-based Agent,4,3042,0.8263632159216393,0.7986383089931769,0.6895727443310969,0.6912897731276139,0.9622231703450883,0.9900920828112201
Deep Q-Network (DQN),4,3042,0.6149556557508615,0.8526113305088212,0.5376447428491417,0.7062815410131219,0.16888838757114788,0.8093522768120756
Q-Learning,4,3042,0.647597344065935,0.8716845061470405,0.6421461617617532,0.6811038296773435,0.220050982505451,0.8230012402380872
Random Baseline,4,3042,0.7623877107470985,0.899173353347583,0.6993005569969315,0.704413613128355,0.7277993867367669,0.7812516435258559
ILAI System,5,4042,0.7862934882704877,0.9925576522398676,0.3873017840717529,0.6819968288859605,0.9269020541053824,0.9427091220494748
A* Search,5,4042,0.7860735016439193,0.7853832936036594,0.5118957085855137,0.6976002958771259,0.9431250426363078,0.9923631675169888
Rule-based Agent,5,4042,0.8349438641464633,0.8011514893753368,0.7012085459343295,0.7043273506326119,0.976906509729379,0.9911254250606595
Deep Q-Network (DQN),5,4042,0.6273113745706117,0.8630197760011689,0.6189635285555033,0.7047162059483754,0.12599084407410194,0.823866518273909
Q-Learning,5,4042,0.6111509733635143,0.8179113653063921,0.5215704689924898,0.6984237397546926,0.17885260599513447,0.8389966867688626
Random Baseline,5,4042,0.7414796291375602,0.8965743007339219,0.54177639192525,0.705136496387572,0.7786886111677606,0.7852223454732965
ILAI System,6,5042,0.7955739721552516,0.9995903318061172,0.41673852777979764,0.7140293221566862,0.907937879133672,0.9395737998999849
A* Search,6,5042,0.7852501427263774,0.8111959466300077,0.5012956812974152,0.6883304090867193,0.9269920546328296,0.9984366219849147
Rule-based Agent,6,5042,0.8248022523240109,0.7961606199545279,0.7021724656006777,0.6914357743714298,0.9412421872852342,0.9930002144081844
Deep Q-Network (DQN),6,5042,0.6090909160881361,0.8213221504394581,0.5050776223855287,0.7002788479638482,0.19999233229757019,0.8187836273542755
Q-Learning,6,5042,0.6129133636718991,0.8336526438384334,0.568213493840514,0.6947373484672558,0.19505234227262566,0.7729109899406669
Random Baseline,6,5042,0.7346666803172499,0.8035273956724265,0.565180548593089,0.7113130528669718,0.7942136466536239,0.7990987578001382
ILAI System,7,6042,0.7939517353548889,0.9991710552519015,0.3846401984432562,0.7055060234552598,0.9383322711657964,0.94210912845823
A* Search,7,6042,0.7932692233599933,0.8001728198664327,0.4909961276692836,0.701096002996954,0.9781232099309768,0.9959579563363191
Rule-based Agent,7,6042,0.8248440600892151,0.7964790904947988,0.6830781053702588,0.687972760850741,0.9572238211229255,0.9994665226073506
Deep Q-Network (DQN),7,6042,0.6342957002907081,0.8738978687060944,0.5931801789913539,0.719020269635982,0.14301830170555258,0.8423618824145579
Q-Learning,7,6042,0.6391132961496208,0.8494685951044155,0.6732584411283766,0.6995459105327454,0.1790880627375488,0.7942054712450173
Random Baseline,7,6042,0.7171292567445805,0.8079882948724111,0.5523708640613108,0.6902938796894384,0.7175598033838221,0.81743344171592
ILAI System,8,7042,0.7851375220183469,0.9922269383289981,0.41896579268448836,0.6787852033719393,0.9045835647423568,0.9311261109639517
A* Search,8,7042,0.785828517319606,0.8018856336119261,0.4970071862792224,0.6793557175105842,0.9556127573257303,0.9952812918705665
Rule-based Agent,8,7042,0.8207549521508192,0.8103787346490944,0.6845324691344229,0.6894871155100278,0.9279188219437267,0.9914576195168238
Deep Q-Network (DQN),8,7042,0.6113465205827966,0.8114052204089157,0.5404367740244502,0.7042229317721015,0.1672875986114315,0.8333800780970843
Q-Learning,8,7042,0.6110821974554134,0.8240850674421082,0.5371112143012753,0.6797771232002497,0.20633008636406228,0.8081074959693714
Random Baseline,8,7042,0.7422205088148899,0.8433138757022393,0.617353282350768,0.714598783870013,0.7229590767267624,0.812877525424667
ILAI System,9,8042,0.7882049535495919,0.9914989484688562,0.38848490189272994,0.6855754723642733,0.9266723701096348,0.9487930749124649
A* Search,9,8042,0.7931750715364891,0.7959000520660764,0.5100003191727362,0.6881475975381569,0.9769704858032314,0.9948569031022444
Rule-based Agent,9,8042,0.835185516029062,0.792580063511605,0.7062422586596865,0.7190726420688205,0.9626947282786745,0.9953378876265233
Deep Q-Network (DQN),9,8042,0.6465746977442487,0.8621445970738758,0.6906903512946097,0.7013015883368152,0.18231003548376784,0.7964269165321749
Q-Learning,9,8042,0.6463701979720928,0.869624856554017,0.6345881095605452,0.6819312711903395,0.222839949652739,0.8228668029028228
Random Baseline,9,8042,0.7355016546221694,0.8174944717332361,0.6013813569036763,0.6996727164120258,0.7424700702733312,0.8164896577885777
ILAI System,10,9042,0.7877880754522121,0.9983049213309613,0.3849976338126204,0.6864405556300718,0.9365015561934439,0.9326957102939631
A* Search,10,9042,0.7810787883202203,0.789459962506357,0.4973721600748415,0.6910005035716152,0.9293625395508767,0.9981987758974105
Rule-based Agent,10,9042,0.8286255314837653,0.8181482527621008,0.7097850475464794,0.6993921508197993,0.9227918708774179,0.9930103354130286
Deep Q-Network (DQN),10,9042,0.6264108768890719,0.8464144031745058,0.6432811991851679,0.7110770343327699,0.1793097567004689,0.7519719910524472
Q-Learning,10,9042,0.6141235284246467,0.827170727772207,0.5125907487491776,0.6900000313349944,0.2280620261671591,0.8127941080996954
Random Baseline,10,9042,0.722089222545744,0.8728843062391962,0.5016951117137053,0.6932846272115424,0.7227605186280415,0.8198215489362348
ILAI System,11,10042,0.7903974334268321,0.9995647626430608,0.4022304358315352,0.6940081880215172,0.9239797552731782,0.932204025364869
A* Search,11,10042,0.7950996155976843,0.8051390465498937,0.5152748073891994,0.6816058885303855,0.9753942590677092,0.998084076451234
Rule-based Agent,11,10042,0.8296978099462745,0.7972960131787821,0.7062658026524,0.7124619429737895,0.9400950665784087,0.9923702243479927
Deep Q-Network (DQN),11,10042,0.6116939860431467,0.819622768571652,0.5381721824122205,0.6800126778729123,0.19542720572392236,0.8252350956350261
Q-Learning,11,10042,0.6374993612194813,0.8148511084926057,0.6970179458207085,0.7022048711650755,0.22209391978590143,0.7513289608331148
Random Baseline,11,10042,0.7387594156321708,0.8682020858468986,0.6099148331833858,0.6888067446150345,0.7731276599130309,0.7537457546025036
ILAI System,12,11042,0.7846824258361909,0.9923113681903638,0.40294687641570437,0.6851802387460103,0.9083067175901623,0.9346669282387134
A* Search,12,11042,0.7897779814462476,0.7992162468958113,0.5145816441323351,0.6840518817460145,0.9515979480438003,0.999442186413276
Rule-based Agent,12,11042,0.8312723865084396,0.7869297998720292,0.6849685028949158,0.7134061691106288,0.9733342341880932,0.9977232264765304
Deep Q-Network (DQN),12,11042,0.6192608343423219,0.8879286293920001,0.5315745905321985,0.712706084591092,0.1664282409978705,0.7976666261984486
Q-Learning,12,11042,0.6313368834921076,0.8828268589732097,0.5409735371102171,0.703936720129294,0.20979031720879893,0.8191569840390185
Random Baseline,12,11042,0.7227027491944462,0.845014364492719,0.536339641579763,0.7184180506226967,0.7108631697921345,0.8028785194849175
ILAI System,13,12042,0.7963520316696514,0.9945175875364022,0.40201679513312144,0.7118357975101013,0.9260189184337294,0.947371059734902
A* Search,13,12042,0.7850664627451353,0.8039662133604456,0.496504247014435,0.6990116967936348,0.930346485868417,0.9955036706887438
Rule-based Agent,13,12042,0.8265901602747076,0.8029938802709663,0.6994312864378213,0.7135963162299008,0.9226039261865073,0.9943253922483419
Deep Q-Network (DQN),13,12042,0.6195736130910698,0.8227488874835827,0.6062893806120585,0.680291801432796,0.18035620869480795,0.8081817872321037
Q-Learning,13,12042,0.6387537333679842,0.8810991267839601,0.6223774028491817,0.6895343325239736,0.22568511029236338,0.7750726943904422
Random Baseline,13,12042,0.7167594964078341,0.8109498128170537,0.5374387668204467,0.7062818586435876,0.7143841748478594,0.8147428689102226
ILAI System,14,13042,0.7905452921364324,0.9920677880997073,0.3946366758564045,0.7159464786404851,0.9128191773659806,0.9372563407195841
A* Search,14,13042,0.7805133857425202,0.7890655782612179,0.48382531807088,0.7080031184809171,0.9246875953058314,0.9969853185937545
Rule-based Agent,14,13042,0.8157582430980492,0.7830881692135934,0.6942487963674466,0.6879904467882745,0.9225603406740394,0.9909034624468919
Deep Q-Network (DQN),14,13042,0.6118010841448678,0.8325308282736645,0.5798120586903812,0.7106524647555906,0.154788875909351,0.7812211930953512
Q-Learning,14,13042,0.6341273488684939,0.8907958541146626,0.5744652162218208,0.6774767441310592,0.19228174162002942,0.8356171882548971
Random Baseline,14,13042,0.7388378509324847,0.8519555050089191,0.5825301968708286,0.7164463598664357,0.7836667666486399,0.7595904262675998
ILAI System,15,14042,0.7905493685913889,0.9989013891914493,0.4015517289540239,0.6882216514494738,0.9207690887503461,0.9433029846116515
A* Search,15,14042,0.7830379923212532,0.7884613577065254,0.48748469899669133,0.6976489527215296,0.9474077669904154,0.9941871851911044
Rule-based Agent,15,14042,0.8358806350809714,0.7873814709135963,0.7176150831218505,0.7194384242952638,0.9575238534405104,0.9974443436336354
Deep Q-Network (DQN),15,14042,0.6105892380622431,0.8326672336529366,0.5385029485855114,0.685551148381447,0.17030978565065957,0.8259150740406609
Q-Learning,15,14042,0.6393353149533971,0.8722423377910322,0.6348146745165917,0.6793003971749214,0.21718577840683218,0.7931333868776077
Random Baseline,15,14042,0.7406668790415143,0.810581461437608,0.6129360661010659,0.712373033332486,0.7205395842995805,0.8469042500368308
ILAI System,16,15042,0.7974829265765522,0.9928430008174538,0.4165141280762328,0.7045626668460907,0.934359527256946,0.9391353098860377
A* Search,16,15042,0.7906605697004864,0.7878066610610895,0.49785770629485404,0.737388688614572,0.9330877325805501,0.997162059951366
Rule-based Agent,16,15042,0.833977949198291,0.8056406762733586,0.6963285387214382,0.6999421340826538,0.9738302413941536,0.9941481555198513
Deep Q-Network (DQN),16,15042,0.6387488775273259,0.824667837824277,0.6683120227060102,0.7163427044633484,0.19641073214245058,0.7880110905005427
Q-Learning,16,15042,0.6511005044503402,0.8617581815111998,0.6491648349773516,0.7009063020525687,0.1951023323783311,0.8485708713322504
Random Baseline,16,15042,0.751510979124075,0.8037910385039417,0.6303466798462865,0.7143212338232127,0.793251450805037,0.8158444926418973
ILAI System,17,16042,0.7851485524511261,0.9943480003909552,0.39500210261248747,0.682889617161444,0.9089611533548048,0.9445418887359393
A* Search,17,16042,0.7825597417943492,0.7817394849438984,0.48562000351170254,0.689396803245413,0.956225552910602,0.9998168643601297
Rule-based Agent,17,16042,0.8328489748816044,0.7970170898360499,0.6868869498899269,0.71345476459036,0.9743031756196268,0.9925828944720584
Deep Q-Network (DQN),17,16042,0.6083869173245506,0.8082202741771221,0.5649618114226342,0.6973316918482926,0.17356628736731103,0.7978545218073929
Q-Learning,17,16042,0.6207484020653192,0.8531737207596692,0.549424550631441,0.6899423662383615,0.22898522283019723,0.7822161498669268
Random Baseline,17,16042,0.726317191712693,0.8305320695625178,0.6431931428978179,0.6814932112250952,0.7007453237661964,0.7756222111118378
ILAI System,18,17042,0.7913180676823378,0.9952607107026398,0.4080012619631318,0.7103308341381713,0.9087698891113376,0.9342276424964086
A* Search,18,17042,0.7996073437051396,0.8121076650364826,0.5090676341321656,0.717637775777573,0.966049091393204,0.9931745521862727
Rule-based Agent,18,17042,0.8296791704599504,0.7883381065025393,0.6885867715244732,0.6941254687856507,0.9785247674847712,0.9988207380023171
Deep Q-Network (DQN),18,17042,0.6408231790236586,0.8160518670129182,0.6996303544769487,0.686807389604132,0.18506104121641884,0.8165652428078749
Q-Learning,18,17042,0.6400538450420457,0.8044297533525526,0.6582207767833668,0.716918733397972,0.2132982656896723,0.8074016959866642
Random Baseline,18,17042,0.7670888529713086,0.8972343720998642,0.6463524204081298,0.6958779467595239,0.7628807408699944,0.8330987847190302
ILAI System,19,18042,0.7903094589637989,0.9981446570347592,0.4036019224257417,0.7014857405409707,0.9170728944195512,0.9312420803979713
A* Search,19,18042,0.784784893064089,0.7875512124567322,0.5018199289569457,0.6911789959876703,0.9501712744126225,0.9932030535064742
Rule-based Agent,19,18042,0.8275288412915122,0.8070910034613852,0.6912702208910306,0.6991070479046821,0.9419614148648734,0.998214519335589
Deep Q-Network (DQN),19,18042,0.6217212499029,0.8291380952920268,0.5940438711100803,0.6886094347540559,0.15969171483732106,0.8371231335210156
Q-Learning,19,18042,0.6332807735962571,0.806535143331313,0.6722211262007454,0.6880290569280668,0.21550932867774245,0.784109212843418
Random Baseline,19,18042,0.7314575972950286,0.8001523788098764,0.6904923660579487,0.6972571746589526,0.7044966636146158,0.7648894033337489
ILAI System,20,19042,0.7953076542184796,0.9908489445431854,0.4187627356474422,0.6979831463842292,0.9269328254779896,0.9420106190395516
A* Search,20,19042,0.7898672383835954,0.8188313553561806,0.4851313018494969,0.6942559168157042,0.9593560833061952,0.9917615345904003
Rule-based Agent,20,19042,0.8268261279586285,0.7985664625555466,0.689472275193039,0.7096744282752039,0.939546488185314,0.9968709855840391
Deep Q-Network (DQN),20,19042,0.6371467142501552,0.8627894786910738,0.6537712923150778,0.7158606859188005,0.18697615744149074,0.7663359568843331
Q-Learning,20,19042,0.6383641275520844,0.8450847883537984,0.6536764181359672,0.7217105390615111,0.19847694916110803,0.7728719430480373
Random Baseline,20,19042,0.7163301932680515,0.814750163612548,0.5583877751934673,0.71092959977722,0.7061177366940159,0.7914656910630059
